id,site,image_url,width,height,published_at,name,description,page_url,names,descriptions,page_urls,source_count,tags
10752,storyset,https://stories.freepiklabs.com/storage/73171/Muslim-graduation_Mesa-de-trabajo-1.svg,500,500,2024-06-04T12:07:45,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/rafiki,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/rafiki,1,Graduation|Student|education|woman
10751,storyset,https://stories.freepiklabs.com/storage/69843/Muslim-graduation-01.svg,500,500,2024-06-04T12:07:45,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/pana,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/pana,1,Graduation|Student|education|woman
10750,storyset,https://stories.freepiklabs.com/storage/68873/Muslim-graduation-01.svg,500,500,2024-06-04T12:07:45,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/bro,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/bro,1,Graduation|Student|education|woman
10749,storyset,https://stories.freepiklabs.com/storage/68740/Muslim-graduation_Mesa-de-trabajo-1.svg,500,500,2024-06-04T12:07:45,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/cuate,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/cuate,1,Graduation|Student|education|woman
10748,storyset,https://stories.freepiklabs.com/storage/68621/Muslim-Graduation_Mesa-de-trabajo-1.svg,500,500,2024-06-04T12:07:45,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/amico,Muslim graduation,,https://storyset.com/illustration/muslim-graduation/amico,1,Graduation|Student|education|woman
10747,storyset,https://stories.freepiklabs.com/storage/70112/Islamic-new-year_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:50:45,Islamic new year,,https://storyset.com/illustration/islamic-new-year/rafiki,Islamic new year,,https://storyset.com/illustration/islamic-new-year/rafiki,1,Celebration|new year|people
10746,storyset,https://stories.freepiklabs.com/storage/63345/Islamic-new-year-(2)_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:50:45,Islamic new year,,https://storyset.com/illustration/islamic-new-year/cuate,Islamic new year,,https://storyset.com/illustration/islamic-new-year/cuate,1,Celebration|new year|people
10745,storyset,https://stories.freepiklabs.com/storage/63337/Islamic-New-Year-(1)-01.svg,500,500,2024-06-03T13:50:45,Islamic new year,,https://storyset.com/illustration/islamic-new-year/bro,Islamic new year,,https://storyset.com/illustration/islamic-new-year/bro,1,Celebration|new year|people
10744,storyset,https://stories.freepiklabs.com/storage/62568/Islamic-new-year-(1)-01.svg,500,500,2024-06-03T13:50:45,Islamic new year,,https://storyset.com/illustration/islamic-new-year/pana,Islamic new year,,https://storyset.com/illustration/islamic-new-year/pana,1,Celebration|new year|people
10743,storyset,https://stories.freepiklabs.com/storage/62558/Islamic-New-Year_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:50:45,Islamic new year,,https://storyset.com/illustration/islamic-new-year/amico,Islamic new year,,https://storyset.com/illustration/islamic-new-year/amico,1,Celebration|new year|people
10742,storyset,https://stories.freepiklabs.com/storage/69857/Asian-family_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:48:59,Asian family,,https://storyset.com/illustration/asian-family/rafiki,Asian family,,https://storyset.com/illustration/asian-family/rafiki,1,Family|Fun|children|happy|park
10741,storyset,https://stories.freepiklabs.com/storage/62916/Asian-family-01.svg,500,500,2024-06-03T13:48:59,Asian family,,https://storyset.com/illustration/asian-family/bro,Asian family,,https://storyset.com/illustration/asian-family/bro,1,Family|children|culture|happy|home
10740,storyset,https://stories.freepiklabs.com/storage/62687/Asian-family_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:48:59,Asian family,,https://storyset.com/illustration/asian-family/cuate,Asian family,,https://storyset.com/illustration/asian-family/cuate,1,Family|Love|children|culture|happy
10739,storyset,https://stories.freepiklabs.com/storage/62576/Asian-family-01.svg,500,500,2024-06-03T13:48:59,Asian family,,https://storyset.com/illustration/asian-family/pana,Asian family,,https://storyset.com/illustration/asian-family/pana,1,Family|Love|children|happy|park
10738,storyset,https://stories.freepiklabs.com/storage/62447/Asian-Family_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:48:59,Asian family,,https://storyset.com/illustration/asian-family/amico,Asian family,,https://storyset.com/illustration/asian-family/amico,1,City|Family|building|children|happy
10737,storyset,https://stories.freepiklabs.com/storage/69856/African-family_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:48:45,African family,,https://storyset.com/illustration/african-family/rafiki,African family,,https://storyset.com/illustration/african-family/rafiki,1,Family|children|happy|home|play
10736,storyset,https://stories.freepiklabs.com/storage/62910/African-family-(1)-01.svg,500,500,2024-06-03T13:48:45,African family,,https://storyset.com/illustration/african-family/bro,African family,,https://storyset.com/illustration/african-family/bro,1,Family|children|culture|happy|home
10735,storyset,https://stories.freepiklabs.com/storage/62909/African-family_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:48:45,African family,,https://storyset.com/illustration/african-family/cuate,African family,,https://storyset.com/illustration/african-family/cuate,1,Family|Love|children|happy|home
10734,storyset,https://stories.freepiklabs.com/storage/62575/African-family-01.svg,750,500,2024-06-03T13:48:45,African family,,https://storyset.com/illustration/african-family/pana,African family,,https://storyset.com/illustration/african-family/pana,1,Family|Love|children|happy|home
10733,storyset,https://stories.freepiklabs.com/storage/62446/African-Family_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:48:45,African family,,https://storyset.com/illustration/african-family/amico,African family,,https://storyset.com/illustration/african-family/amico,1,Family|Love|children|happy|home
4603,storyset,https://stories.freepiklabs.com/storage/60502/Horseback-riding_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:36:59,Horseback riding,,https://storyset.com/illustration/horseback-riding/cuate,Horseback riding,,https://storyset.com/illustration/horseback-riding/cuate,1,Animal|Nature|Sport|equipment|hobby|horse|walking
1552,storyset,https://stories.freepiklabs.com/storage/60503/Unicorn-with-rainbow-(1)_Mesa-de-trabajo-1.svg,500,500,2024-06-03T13:36:08,Unicorn with rainbow,,https://storyset.com/illustration/unicorn-with-rainbow/cuate,Unicorn with rainbow,,https://storyset.com/illustration/unicorn-with-rainbow/cuate,1,Animal|Magic|fantasy|unicorn
3863,storyset,https://stories.freepiklabs.com/storage/56263/Online-resume_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:43:39,Online resume,,https://storyset.com/illustration/online-resume/cuate,Online resume,,https://storyset.com/illustration/online-resume/cuate,1,Job|Online|devices|human resources|information|resume
3518,storyset,https://stories.freepiklabs.com/storage/56262/Medical-care_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:42:39,Medical care,,https://storyset.com/illustration/medical-care/cuate,Medical care,,https://storyset.com/illustration/medical-care/cuate,1,Doctor|Elderly|Health
3441,storyset,https://stories.freepiklabs.com/storage/56261/Cohort-analysis_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:41:41,Cohort analysis,,https://storyset.com/illustration/cohort-analysis/cuate,Cohort analysis,,https://storyset.com/illustration/cohort-analysis/cuate,1,Consulting|Marketing|Work|analysis|business|chart|worker
3399,storyset,https://stories.freepiklabs.com/storage/56260/Empty-street_Mesa-de-trabajo-1.svg,750,500,2024-06-03T10:40:52,Empty street,,https://storyset.com/illustration/empty-street/cuate,Empty street,,https://storyset.com/illustration/empty-street/cuate,1,City|building|road|street
3361,storyset,https://stories.freepiklabs.com/storage/56259/Location-review_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:40:17,Location review,,https://storyset.com/illustration/location-review/cuate,Location review,,https://storyset.com/illustration/location-review/cuate,1,Device|Online|app|location|map|phone|user
3327,storyset,https://stories.freepiklabs.com/storage/56266/Happy-announcement-(1)_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:39:27,Happy announcement,,https://storyset.com/illustration/happy-announcement/cuate,Happy announcement,,https://storyset.com/illustration/happy-announcement/cuate,1,Celebration|Emotions|couple|emotion|happy|speaker
3268,storyset,https://stories.freepiklabs.com/storage/56257/Select-player_Mesa-de-trabajo-1.svg,750,500,2024-06-03T10:38:39,Select player,,https://storyset.com/illustration/select-player/cuate,Select player,,https://storyset.com/illustration/select-player/cuate,1,Fun|Online|choice|game|hobby|play
3200,storyset,https://stories.freepiklabs.com/storage/56256/Code-snippets_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:37:48,Code snippets,,https://storyset.com/illustration/code-snippets/cuate,Code snippets,,https://storyset.com/illustration/code-snippets/cuate,1,coding|programming|software|text|website
3182,storyset,https://stories.freepiklabs.com/storage/56255/Pop-up_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:36:52,Pop-up,,https://storyset.com/illustration/pop-up/cuate,Pop-up,,https://storyset.com/illustration/pop-up/cuate,1,Marketing|Online|internet|sales|web
3105,storyset,https://stories.freepiklabs.com/storage/56254/Edit-photo_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:35:53,Edit photo,,https://storyset.com/illustration/edit-photo/cuate,Edit photo,,https://storyset.com/illustration/edit-photo/cuate,1,Work|designer|digital|graphic design|software|tool
3102,storyset,https://stories.freepiklabs.com/storage/31689/_Edit-photo-01.svg,500,500,2024-06-03T10:35:04,Edit photo,,https://storyset.com/illustration/edit-photo/pana,Edit photo,,https://storyset.com/illustration/edit-photo/pana,1,Work|app|digital|graphic design|phone|software|tool
4456,storyset,https://stories.freepiklabs.com/storage/55955/Chat-bot_Mesa-de-trabajo-1.svg,500,500,2024-06-03T10:34:29,Chat bot,,https://storyset.com/illustration/chat-bot/cuate,Chat bot,,https://storyset.com/illustration/chat-bot/cuate,1,Communication|Online|Robot|chat|customer
